Date,Max Temp,Min Temp,Average Temp,Departure,Precip,New Snow,Snow Depth
2022-09-01,81.0,60.0,70.5,0.9,0.0,0.0,0.0
2022-09-02,84.0,59.0,71.5,2.1,0.0,0.0,0.0
2022-09-03,81.0,65.0,73.0,3.9,,0.0,0.0
2022-09-04,76.0,65.0,70.5,1.6,0.83,0.0,0.0
2022-09-05,76.0,67.0,71.5,2.9,1.71,0.0,0.0
2022-09-06,75.0,66.0,70.5,2.2,0.06,0.0,0.0
2022-09-07,77.0,64.0,70.5,2.5,0.04,0.0,0.0
2022-09-08,78.0,60.0,69.0,1.3,0.0,0.0,0.0
2022-09-09,81.0,56.0,68.5,1.1,0.0,0.0,0.0
2022-09-10,73.0,60.0,66.5,-0.6,,0.0,0.0
2022-09-11,74.0,63.0,68.5,1.8,0.9,0.0,0.0
2022-09-12,75.0,57.0,66.0,-0.4,0.01,0.0,0.0
2022-09-13,67.0,52.0,59.5,-6.6,0.0,0.0,0.0
2022-09-14,74.0,52.0,63.0,-2.7,0.0,0.0,0.0
2022-09-15,75.0,56.0,65.5,0.1,0.0,0.0,0.0
2022-09-16,78.0,53.0,65.5,0.5,0.0,0.0,0.0
2022-09-17,79.0,55.0,67.0,2.4,0.0,0.0,0.0
2022-09-18,80.0,61.0,70.5,6.3,0.0,0.0,0.0
2022-09-19,74.0,63.0,68.5,4.6,0.33,0.0,0.0
2022-09-20,78.0,58.0,68.0,4.5,0.0,0.0,0.0
2022-09-21,83.0,59.0,71.0,7.9,0.01,0.0,0.0
2022-09-22,71.0,48.0,59.5,-3.2,0.7,0.0,0.0
2022-09-23,61.0,42.0,51.5,-10.8,0.0,0.0,0.0
2022-09-24,65.0,46.0,55.5,-6.4,0.0,0.0,0.0
2022-09-25,70.0,55.0,62.5,1.0,0.27,0.0,0.0
2022-09-26,66.0,50.0,58.0,-3.1,0.03,0.0,0.0
2022-09-27,59.0,45.0,52.0,-8.7,0.13,0.0,0.0
2022-09-28,60.0,43.0,51.5,-8.8,0.13,0.0,0.0
2022-09-29,60.0,47.0,53.5,-6.4,0.0,0.0,0.0
2022-09-30,59.0,42.0,50.5,-9.0,0.0,0.0,0.0
